symbol,entry_time,onset_time,peak_time,entry_price,peak_price,spike_pct,entry_to_peak_minutes,onset_to_peak_minutes
HEMITRY,2026-08-16 15:03:59,2026-08-16 15:04:59,2026-08-16 15:09:59,0.3095,0.327,5.65428,6.0,5.0
ROBOTRY,2026-08-16 15:19:59,2026-08-16 15:26:59,2026-08-16 15:34:59,0.684,0.72,5.26316,15.0,8.0
XAITRY,2026-08-16 15:29:59,2026-08-16 15:31:59,2026-08-16 15:44:59,0.341,0.359,5.27859,15.0,13.0
PORTALTRY,2026-08-16 15:32:59,2026-08-16 15:25:59,2026-08-16 15:47:59,0.6884,0.76,10.40093,15.0,22.0
ALICETRY,2026-08-16 15:38:59,2026-08-16 15:40:59,2026-08-16 15:53:59,6.27,6.61,5.42265,15.0,13.0
NOMTRY,2026-08-16 15:42:59,2026-08-16 15:42:59,2026-08-16 15:55:59,0.077,0.081,5.19481,13.0,13.0
RVNTRY,2026-08-16 15:42:59,2026-08-16 15:42:59,2026-08-16 15:57:59,0.1311,0.1405,7.1701,15.0,15.0
DOLOTRY,2026-08-16 16:03:59,2026-08-16 16:03:59,2026-08-16 16:18:59,1.133,1.198,5.73698,15.0,15.0
DODOTRY,2026-08-16 16:06:59,2026-08-16 16:07:59,2026-08-16 16:18:59,1.028,1.0797,5.02918,12.0,11.0
PORTALTRY,2026-08-16 16:17:59,2026-08-16 16:24:59,2026-08-16 16:32:59,0.709,0.75,5.78279,15.0,8.0
DOLOTRY,2026-08-16 16:46:59,2026-08-16 16:51:59,2026-08-16 17:01:59,1.182,1.244,5.24535,15.0,10.0
GIGGLETRY,2026-08-16 16:54:59,2026-08-16 16:55:59,2026-08-16 17:09:59,1482.0,1580.0,6.61269,15.0,14.0
ALICETRY,2026-08-16 17:24:59,2026-08-16 17:25:59,2026-08-16 17:39:59,6.36,6.75,6.13208,15.0,14.0
DOLOTRY,2026-08-16 17:53:59,2026-08-16 17:53:59,2026-08-16 18:08:59,1.207,1.291,6.9594,15.0,15.0
GPSTRY,2026-08-16 17:55:59,2026-08-16 18:03:59,2026-08-16 18:10:59,0.473,0.5,5.70825,15.0,7.0
RARETRY,2026-08-16 18:27:59,2026-08-16 18:34:59,2026-08-16 18:42:59,0.5692,0.6,5.4111,15.0,8.0
GPSTRY,2026-08-16 18:32:59,2026-08-16 18:32:59,2026-08-16 18:47:59,0.49,0.53,8.16327,15.0,15.0
BOMETRY,2026-08-16 18:33:59,2026-08-16 18:38:59,2026-08-16 18:48:59,0.03908,0.0424,8.49539,15.0,10.0
BARTRY,2026-08-16 18:42:59,2026-08-16 18:44:59,2026-08-16 18:57:59,12.73,13.67,7.38413,15.0,13.0
ONTTRY,2026-08-16 18:49:59,2026-08-16 18:49:59,2026-08-16 19:04:59,1.835,1.95,6.26703,15.0,15.0
BELTRY,2026-08-16 18:55:59,2026-08-16 19:00:59,2026-08-16 19:10:59,5.26,5.53,5.13308,15.0,10.0
GPSTRY,2026-08-16 19:18:59,2026-08-16 19:27:59,2026-08-16 19:33:59,0.505,0.535,5.94059,15.0,6.0
ONTTRY,2026-08-16 19:28:59,2026-08-16 19:28:59,2026-08-16 19:32:59,1.869,1.97,5.40396,4.0,4.0
PORTALTRY,2026-08-16 19:29:59,2026-08-16 19:30:59,2026-08-16 19:43:59,0.6287,0.6608,5.10577,14.0,13.0
DOLOTRY,2026-08-16 19:48:59,2026-08-16 19:48:59,2026-08-16 20:03:59,1.156,1.214,5.0173,15.0,15.0
ALICETRY,2026-08-16 19:51:59,2026-08-16 19:51:59,2026-08-16 20:06:59,6.56,6.93,5.64024,15.0,15.0
PORTALTRY,2026-08-16 20:06:59,2026-08-16 20:07:59,2026-08-16 20:21:59,0.678,0.7323,8.00885,15.0,14.0
BARDTRY,2026-08-16 20:35:59,2026-08-16 20:36:59,2026-08-16 20:50:59,5.05,5.45,7.92079,15.0,14.0
PORTALTRY,2026-08-16 20:59:59,2026-08-16 21:00:59,2026-08-16 21:14:59,0.7137,0.76,6.48732,15.0,14.0
BARDTRY,2026-08-16 21:22:59,2026-08-16 21:22:59,2026-08-16 21:37:59,5.1,5.38,5.4902,15.0,15.0
BELTRY,2026-08-16 21:34:59,2026-08-16 21:38:59,2026-08-16 21:48:59,5.51,5.83,5.80762,14.0,10.0
HEMITRY,2026-08-16 21:46:59,2026-08-16 21:54:59,2026-08-16 22:01:59,0.2826,0.2985,5.62633,15.0,7.0
PORTALTRY,2026-08-16 21:47:59,2026-08-16 21:56:59,2026-08-16 22:01:59,0.8021,0.845,5.34846,14.0,5.0
BELTRY,2026-08-16 22:17:59,2026-08-16 22:19:59,2026-08-16 22:32:59,5.73,6.02,5.06108,15.0,13.0
PORTALTRY,2026-08-16 22:48:59,2026-08-16 22:48:59,2026-08-16 23:02:59,0.763,0.8042,5.39974,14.0,14.0
XAITRY,2026-08-16 22:51:59,2026-08-16 22:55:59,2026-08-16 23:05:59,0.3517,0.3699,5.17486,14.0,10.0
PORTALTRY,2026-08-16 23:17:59,2026-08-16 23:15:59,2026-08-16 23:32:59,0.7867,0.8433,7.19461,15.0,17.0
ATTRY,2026-08-16 23:28:59,2026-08-16 23:28:59,2026-08-16 23:43:59,7.505,7.95,5.92938,15.0,15.0
RARETRY,2026-08-16 23:32:59,2026-08-16 23:39:59,2026-08-16 23:47:59,0.5868,0.6182,5.35106,15.0,8.0
PORTALTRY,2026-08-17 00:03:59,2026-08-17 00:09:59,2026-08-17 00:18:59,0.7831,0.823,5.09513,15.0,9.0
