[START] strategy=BB_MFI_MEAN_REVERSION initial=10000.00 TRY window=2026-08-10T00:24:02+00:00..2026-08-10T21:24:02+00:00
[DATA] MASKTRY source=BinanceTR-public interval=5m candles=575
[DATA] MEGATRY source=BinanceTR-public interval=5m candles=575
[DATA] METISTRY source=BinanceTR-public interval=5m candles=575
[DATA] METRY source=BinanceTR-public interval=5m candles=575
[DATA] MIRATRY source=BinanceTR-public interval=5m candles=575
[DATA] MINATRY source=BinanceTR-public interval=5m candles=575
[DATA] METTRY source=BinanceTR-public interval=5m candles=575
[DATA] MORPHOTRY source=BinanceTR-public interval=5m candles=575
[DATA] MITOTRY source=BinanceTR-public interval=5m candles=575
[DATA] MMTTRY source=BinanceTR-public interval=5m candles=575
[DATA] MUBARAKTRY source=BinanceTR-public interval=5m candles=575
[DATA] NEIROTRY source=BinanceTR-public interval=5m candles=575
[DATA] MOVRTRY source=BinanceTR-public interval=5m candles=575
[DATA] NEARTRY source=BinanceTR-public interval=5m candles=575
[DATA] NILTRY source=BinanceTR-public interval=5m candles=575
[DATA] NIGHTTRY source=BinanceTR-public interval=5m candles=575
[DATA] NEOTRY source=BinanceTR-public interval=5m candles=575
[DATA] NEWTTRY source=BinanceTR-public interval=5m candles=575
[DATA] NMRTRY source=BinanceTR-public interval=5m candles=575
[DATA] NOMTRY source=BinanceTR-public interval=5m candles=575
[DATA] NXPCTRY source=BinanceTR-public interval=5m candles=575
[DATA] NOTTRY source=BinanceTR-public interval=5m candles=575
[DATA] ONDOTRY source=BinanceTR-public interval=5m candles=575
[DATA] OGTRY source=BinanceTR-public interval=5m candles=575
[DATA] ONETRY source=BinanceTR-public interval=5m candles=575
[DATA] ONTTRY source=BinanceTR-public interval=5m candles=575
[DATA] OGNTRY source=BinanceTR-public interval=5m candles=575
[DATA] OPGTRY source=BinanceTR-public interval=5m candles=575
[DATA] OPNTRY source=BinanceTR-public interval=5m candles=575
[DATA] OPTRY source=BinanceTR-public interval=5m candles=575
[DATA] OPENTRY source=BinanceTR-public interval=5m candles=575
[DATA] ORCATRY source=BinanceTR-public interval=5m candles=575
[DATA] ORDITRY source=BinanceTR-public interval=5m candles=575
[DATA] PARTITRY source=BinanceTR-public interval=5m candles=575
[DATA] PAXGTRY source=BinanceTR-public interval=5m candles=575
[DATA] PENGUTRY source=BinanceTR-public interval=5m candles=575
[DATA] PEOPLETRY source=BinanceTR-public interval=5m candles=575
[DATA] PEPETRY source=BinanceTR-public interval=5m candles=575
[DATA] PHATRY source=BinanceTR-public interval=5m candles=575
[DATA] PENDLETRY source=BinanceTR-public interval=5m candles=575
[DATA] PIXELTRY source=BinanceTR-public interval=5m candles=575
[DATA] POLTRY source=BinanceTR-public interval=5m candles=575
[DATA] PLUMETRY source=BinanceTR-public interval=5m candles=575
[DATA] PNUTTRY source=BinanceTR-public interval=5m candles=575
[DATA] POLYXTRY source=BinanceTR-public interval=5m candles=575
[DATA] PORTALTRY source=BinanceTR-public interval=5m candles=575
[DATA] PORTOTRY source=BinanceTR-public interval=5m candles=575
[DATA] PROVETRY source=BinanceTR-public interval=5m candles=575
[DATA] PYTHTRY source=BinanceTR-public interval=5m candles=575
[DATA] PSGTRY source=BinanceTR-public interval=5m candles=575
[DATA] RADTRY source=BinanceTR-public interval=5m candles=575
[DATA] QTUMTRY source=BinanceTR-public interval=5m candles=575
[DATA] RAYTRY source=BinanceTR-public interval=5m candles=575
[DATA] RENDERTRY source=BinanceTR-public interval=5m candles=575
[DATA] REDTRY source=BinanceTR-public interval=5m candles=575
[DATA] RARETRY source=BinanceTR-public interval=5m candles=575
[DATA] RESOLVTRY source=BinanceTR-public interval=5m candles=575
[DATA] RETRY source=BinanceTR-public interval=5m candles=575
[DATA] ROBOTRY source=BinanceTR-public interval=5m candles=575
[DATA] RONINTRY source=BinanceTR-public interval=5m candles=576
[DATA] REZTRY source=BinanceTR-public interval=5m candles=576
[DATA] ROSETRY source=BinanceTR-public interval=5m candles=576
[DATA] RVNTRY source=BinanceTR-public interval=5m candles=576
[DATA] RSRTRY source=BinanceTR-public interval=5m candles=576
[DATA] SAGATRY source=BinanceTR-public interval=5m candles=575
[DATA] SAHARATRY source=BinanceTR-public interval=5m candles=575
[DATA] SANDTRY source=BinanceTR-public interval=5m candles=575
[DATA] SANTOSTRY source=BinanceTR-public interval=5m candles=575
[DATA] SCRTRY source=BinanceTR-public interval=5m candles=575
[DATA] PUMPTRY source=BinanceTR-public interval=5m candles=576
[DATA] SAPIENTRY source=BinanceTR-public interval=5m candles=575
[DATA] SENTTRY source=BinanceTR-public interval=5m candles=575
[DATA] SEITRY source=BinanceTR-public interval=5m candles=575
[DATA] SIGNTRY source=BinanceTR-public interval=5m candles=575
[DATA] SHELLTRY source=BinanceTR-public interval=5m candles=575
[DATA] SHIBTRY source=BinanceTR-public interval=5m candles=575
[DATA] SNXTRY source=BinanceTR-public interval=5m candles=575
[DATA] SLPTRY source=BinanceTR-public interval=5m candles=575
[DATA] SKLTRY source=BinanceTR-public interval=5m candles=575
[DATA] SKYTRY source=BinanceTR-public interval=5m candles=575
[DATA] SOLVTRY source=BinanceTR-public interval=5m candles=575
[DATA] SOLTRY source=BinanceTR-public interval=5m candles=575
[DATA] SOMITRY source=BinanceTR-public interval=5m candles=575
[DATA] SOPHTRY source=BinanceTR-public interval=5m candles=575
[DATA] SPKTRY source=BinanceTR-public interval=5m candles=575
[DATA] STOTRY source=BinanceTR-public interval=5m candles=575
[DATA] SPELLTRY source=BinanceTR-public interval=5m candles=575
[DATA] STRKTRY source=BinanceTR-public interval=5m candles=575
[DATA] STRAXTRY source=BinanceTR-public interval=5m candles=575
[DATA] STXTRY source=BinanceTR-public interval=5m candles=575
[DATA] SUITRY source=BinanceTR-public interval=5m candles=575
[DATA] STRY source=BinanceTR-public interval=5m candles=575
[DATA] SUPERTRY source=BinanceTR-public interval=5m candles=575
[DATA] SUNTRY source=BinanceTR-public interval=5m candles=575
[DATA] SUSHITRY source=BinanceTR-public interval=5m candles=575
[DATA] SXTTRY source=BinanceTR-public interval=5m candles=575
[DATA] SYRUPTRY source=BinanceTR-public interval=5m candles=575
[DATA] TAOTRY source=BinanceTR-public interval=5m candles=575
[DATA] TIATRY source=BinanceTR-public interval=5m candles=575
[DATA] THETRY source=BinanceTR-public interval=5m candles=575
[DATA] THETATRY source=BinanceTR-public interval=5m candles=575
[DATA] TLMTRY source=BinanceTR-public interval=5m candles=575
[DATA] TRBTRY source=BinanceTR-public interval=5m candles=575
[DATA] TNSRTRY source=BinanceTR-public interval=5m candles=575
[DATA] TOWNSTRY source=BinanceTR-public interval=5m candles=575
[DATA] TREETRY source=BinanceTR-public interval=5m candles=575
[DATA] TRUMPTRY source=BinanceTR-public interval=5m candles=575
[DATA] TSTTRY source=BinanceTR-public interval=5m candles=575
[DATA] TURTLETRY source=BinanceTR-public interval=5m candles=575
[DATA] TWTTRY source=BinanceTR-public interval=5m candles=575
[DATA] TRXTRY source=BinanceTR-public interval=5m candles=575
[DATA] UMATRY source=BinanceTR-public interval=5m candles=575
[DATA] TURBOTRY source=BinanceTR-public interval=5m candles=575
[DATA] USDTTRY source=BinanceTR-public interval=5m candles=575
[DATA] UNITRY source=BinanceTR-public interval=5m candles=575
[DATA] USD1TRY source=BinanceTR-public interval=5m candles=575
[DATA] USTCTRY source=BinanceTR-public interval=5m candles=575
