symbol,entry_time,onset_time,peak_time,spike_pct,lag_minutes,close,return_1m_pct,return_3m_pct,return_5m_pct,return_15m_pct,rsi_14,cmo_14,stoch_k,stoch_d,cci_20,adx_14,di_gap,ema9_21_gap_pct,ema_cross_up,macd_histogram_pct,roc_10_pct,atr_pct,bb_position,bb_width_pct,volume_ratio_20,cmf_20,obv_slope_5,body_pct,range_pct,close_position_in_range
TSTTRY,2026-08-17 19:51:59,2026-08-17 19:51:59,2026-08-17 20:06:59,5.22088,10,0.75,0.53619303,1.48849797,1.90217391,1.62601626,64.06715692,43.75,100.0,92.46031746,214.42495127,21.49588432,24.52830189,0.32736982,0,0.13053013,1.48849797,0.00504762,1.18146299,0.02164118,2.82157784,0.22574618,0.55006198,0.53619303,0.66666667,1.0
ACETRY,2026-08-17 19:58:59,2026-08-17 19:59:59,2026-08-17 20:13:59,5.18715,0,8.319,0.12035143,-0.22787239,-0.41896098,0.01202212,42.38885757,-7.24637681,25.65445026,11.12661438,-99.84111853,31.43326811,-0.85106383,-0.16144346,0,-0.06832168,-0.66865672,0.00605327,0.26743852,0.01801506,2.56833641,-0.01530722,-0.06306226,0.18063584,0.61305445,0.96078431
ACETRY,2026-08-17 19:58:59,2026-08-17 19:59:59,2026-08-17 20:13:59,5.18715,1,8.309,-0.06013952,-0.63381966,-0.95362975,-0.12020676,40.34739341,-3.1358885,2.56410256,11.05997945,-77.91952895,32.388387,5.84795322,-0.13672705,0,-0.06315479,-1.1186481,0.00588003,0.20761044,0.01823958,0.56394255,-0.16559839,-0.70093677,-0.0360924,0.38512456,0.125
ACETRY,2026-08-17 19:58:59,2026-08-17 19:59:59,2026-08-17 20:13:59,5.18715,3,8.338,-0.28701268,-0.60793897,-0.98563116,0.25249489,44.32714206,12.40875912,25.45454545,34.77056277,-36.82795699,34.90287692,6.63716814,-0.01242406,0,0.00408441,-0.72627694,0.00580818,0.37986202,0.01748323,2.47595838,-0.05385666,-0.69753458,-0.2392917,0.74358359,0.46774194
ACETRY,2026-08-17 19:58:59,2026-08-17 19:59:59,2026-08-17 20:13:59,5.18715,5,8.354,-0.41721302,-0.79562997,-0.25074627,0.52948255,46.57419141,12.74131274,38.85714286,54.28571429,13.78340366,38.26581974,16.44444444,0.06728416,0,0.06323874,0.43279635,0.0057714,0.47702354,0.01744589,0.98000056,0.02588912,-0.16768593,-0.34593821,0.59851568,0.2
ACETRY,2026-08-17 19:58:59,2026-08-17 19:59:59,2026-08-17 20:13:59,5.18715,10,8.375,-0.33321433,-0.2857483,0.68526088,0.2994012,50.78997883,2.98507463,50.85714286,64.40365815,70.06249529,46.56595813,13.82978723,0.02678446,0,0.11746243,0.78219013,0.00561194,0.67588581,0.01664689,0.56509228,-0.00858073,0.80249929,-0.3687842,0.44179104,0.16216216
BMTTRY,2026-08-17 19:58:59,2026-08-17 19:58:59,2026-08-17 20:10:59,5.04648,0,0.753,-0.26490066,-1.05124836,-0.92105263,-0.92105263,39.17576682,-26.31578947,26.31578947,13.90013495,-221.06179286,32.05502489,-21.91780822,-0.40930234,0,-0.05859224,-1.31061599,0.00692468,-0.02953171,0.01923835,1.73180561,0.10412769,-0.59321389,-0.26490066,0.92961487,0.71428571
BMTTRY,2026-08-17 19:58:59,2026-08-17 19:58:59,2026-08-17 20:10:59,5.04648,1,0.755,0.0,-0.78843627,-0.26420079,-1.30718954,41.04279479,-12.82051282,7.69230769,23.07692308,-150.61728395,33.83129096,-12.67605634,-0.35921077,0,-0.03293689,-1.30718954,0.00671712,0.04143662,0.01719362,0.2227502,0.0768723,-0.19750399,0.0,0.26490066,0.0
BMTTRY,2026-08-17 19:58:59,2026-08-17 19:58:59,2026-08-17 20:10:59,5.04648,3,0.761,0.0,0.52840159,-0.52287582,0.13157895,46.81391569,-12.82051282,53.84615385,51.28205128,31.11111111,38.19577359,-13.88888889,-0.26072426,0,0.02870174,0.0,0.00675803,0.45292228,0.01394712,0.62511109,0.19914085,-0.0895089,-0.1312336,0.39421813,0.0
BMTTRY,2026-08-17 19:58:59,2026-08-17 19:58:59,2026-08-17 20:10:59,5.04648,5,0.76,0.39630119,-0.65359477,-0.3931848,0.26385224,45.71701741,-6.38297872,46.15384615,36.41025641,-69.42528736,43.16728749,-14.1025641,-0.32202572,0,-0.00383108,0.0,0.00733083,0.40828236,0.01575789,0.3983845,0.27858234,-0.37644884,0.39630119,0.78947368,1.0
